taxon_name,int_midpoint,sub,size,taxon_name,is_extant,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,
Allorhynchus,262.5,art,13.13,Allorhynchus,extinct,364.7,360.7,254.17,252.17,Famennian,Permian,
Almerarhynchia,69.05,art,23.76,Almerarhynchia,extinct,83.5,66,70.6,66,Campanian,Maastrichtian,
Almorhynchia,172.2,art,12.13,Almorhynchia,extinct,,,,,,,
Altaethyrella,449.1,art,17.74,Altaethyrella,extinct,460.9,449.5,449.5,443.7,Darriwilian,Late Ordovician,
Altajella,415,art,13.58,Altajella,extinct,419.2,410.8,410.8,402.5,Lochkovian,Early Devonian,
Altiplecus,257.05,art,27.57,Altiplecus,extinct,298.9,295.5,265.1,259.9,Cisuralian,Guadalupian,
Altunella,455.7,art,17.50666667,Altunella,extinct,,,,,,,
Alvarezites,390.5,art,38.64,Alvarezites,extinct,,,,,,,
Alwynia,338.8,art,12.47333333,Alwynia,extinct,,,,,,,
Ambocoelia,338.8,art,5.72,Ambocoelia,extinct,427.4,419.2,279.3,272.3,Ludlow,Cisuralian,
Amboglossa,390.5,art,12.58,Amboglossa,extinct,407.6,393.3,407.6,393.3,Emsian,,
Ambonorthella,428.95,art,23.66,Ambonorthella,extinct,,,,,,,
Ambothyris,377.45,art,7.97,Ambothyris,extinct,419.2,410.8,382.7,372.2,Early Devonian,Frasnian,
Amerista,424.3,art,15.88,Amerista,extinct,430.5,425.6,425.6,423,Homerian,Ludlow,
Ametoria,270.55,art,30.45,Ametoria,extinct,279.5,268.8,272.3,268,Artinskian,Wordian,
Amictocracens,498.75,inart,1.488444444,Amictocracens,extinct,504,501,504,501,Drumian,,
Amissopecten,390.5,art,18.465,Amissopecten,extinct,419.2,393.3,393.3,387.7,Early Devonian,Eifelian,
Amoenirhynchia,231.5,art,8.72,Amoenirhynchia,extinct,237,232,232,201.3,Late Triassic,,
Amoenospirifer,390.5,art,15.91,Amoenospirifer,extinct,419.2,407.6,393.3,387.7,Early Devonian,Eifelian,
Amosina,415,art,5.75,Amosina,extinct,443.4,427.4,419.2,391.9,Silurian,Eifelian,
Amphiclina,204.9,art,13.15,Amphiclina,extinct,247.2,237,208.5,201.3,Middle Triassic,Late Triassic,
Amphiclinodonta,186.75,art,8.625,Amphiclinodonta,extinct,242,228,189.6,183,Ladinian,Pliensbachian,
Amphigenia,390.5,art,57.37,Amphigenia,extinct,419.2,393.3,382.7,372.2,Early Devonian,Frasnian,
Amphipella,284.7,art,3.695,Amphipella,extinct,279.3,272.3,279.3,272.3,Kungurian,,
Amphiplecia,449.1,art,19.79,Amphiplecia,extinct,453,445.2,445.2,443.4,Katian,Hirnantian,
Amphistrophia,415,art,21.72,Amphistrophia,extinct,443.4,440.8,419.2,410.8,Silurian,Lochkovian,minor ribbing
Amphitomella,204.9,art,6.13,Amphitomella,extinct,235,232,235,232,Carnian,,
Amsdenella,415,art,19.625,Amsdenella,extinct,,,,,,,
Amsdenina,421.1,art,21.45,Amsdenina,extinct,443.4,430.5,427.4,419.2,Silurian,,
Amurothyris,262.5,art,10.59333333,Amurothyris,extinct,265.1,259.9,265.1,259.9,Capitanian,,
Amydroptychus,169.3,art,21.19,Amydroptychus,extinct,170.3,168.3,161.2,155.7,Bajocian,Kimmeridgian,
Amygdalocosta,253.2,art,15.628,Amygdalocosta,extinct,259.9,254.17,254.17,252.17,Lopingian,,
Anabaia,421.1,art,8.856,Anabaia,extinct,443.4,440.8,423,391.9,Silurian,Eifelian,
Anabaria,428.95,art,13.23,Anabaria,extinct,443.4,438.5,433.4,427.4,Llandovery,Wenlock,
Anabolotreta,495.5,inart,1.097297297,Anabolotreta,extinct,513,501,501,485.4,Stage 4,Furongian,minor ribbing
Anadyrella,218.25,art,21.22,Anadyrella,extinct,228,208.5,228,208.5,Norian,,
Anakinetica,0.01,art,20.17,Anakinetica,extant,23.03,20.44,1.806,0.781,Neogene,Calabrian,
Anaptychius,266.95,art,6.696666667,Anaptychius,extinct,279.3,272.3,279.3,272.3,Kungurian,,
